time,FL1,FL6,FL19,TA21s1,TB21s11,TL8s1,TL9s1,TL14s1,PS1,PS2,PH1,PH2,cv42C,cv43C
6.0197984,196.62054,277.98822,474.81296,609.81344,510.44996,387.77615,387.73983,489.65532,86.060158,92.265823,35.813763,37.328156,62698.367,62649.457
6.1197984,195.64954,278.758,474.61263,609.85914,510.50022,387.7771,387.73966,489.68526,85.968605,92.309532,35.773954,37.312581,62695.988,62650.281
6.2197984,194.68143,279.52288,474.41059,609.90533,510.55101,387.77808,387.7395,489.71534,85.877052,92.353241,35.734012,37.296747,62693.57,62651.203
6.3197984,193.71651,280.28323,474.20671,609.95199,510.60228,387.77907,387.73936,489.74559,85.7855,92.39695,35.693917,37.280627,62691.16,62652.207
6.4197983,192.75437,281.03881,474.00146,609.99912,510.65409,387.78005,387.73919,489.77597,85.693939,92.440659,35.6537,37.264281,62688.742,62653.297
6.5197983,191.79518,281.78996,473.79504,610.04679,510.70638,387.78107,387.73902,489.80652,85.602386,92.484367,35.613356,37.247694,62686.293,62654.465
6.6197984,190.83879,282.53663,473.58673,610.09488,510.75914,387.78205,387.73885,489.83724,85.510834,92.528076,35.572871,37.230839,62683.82,62655.707
6.7197984,189.88346,283.27942,473.37555,610.14343,510.81241,387.78307,387.73868,489.86813,85.419281,92.571785,35.531013,37.213754,62681.391,62657.02
6.8197984,188.916,284.02531,473.15485,610.19253,510.86646,387.78408,387.73851,489.89919,85.327728,92.615494,35.485681,37.195813,62678.609,62658.395
6.9197984,187.94005,284.77319,472.92849,610.24245,510.9219,387.78507,387.73834,489.93042,85.236176,92.659203,35.440741,37.177091,62675.613,62659.812
7.0197984,186.96004,285.52119,472.69771,610.29351,510.97877,387.78609,387.73817,489.96185,85.144623,92.702911,35.395988,37.157716,62672.613,62661.242
7.1197984,185.97831,286.26755,472.46427,610.34573,511.03689,387.7871,387.73797,489.99346,85.05307,92.74662,35.351331,37.137875,62669.617,62662.664
7.2197984,184.99452,287.01712,472.23116,610.39917,511.09606,387.78815,387.7378,490.02533,84.961517,92.790329,35.306738,37.119911,62666.703,62664.074
7.3197984,183.98504,287.81448,472.02014,610.45329,511.15506,387.78924,387.73766,490.05744,84.869965,92.834038,35.263089,37.11763,62664.777,62665.484
7.4197983,182.94634,288.65509,471.82358,610.50693,511.21192,387.79032,387.73753,490.08979,84.778412,92.877754,35.220655,37.112118,62663.598,62666.961
7.5197983,181.88752,289.52047,471.63095,610.55888,511.26631,387.79144,387.73739,490.12238,84.686859,92.921463,35.179074,37.104405,62662.422,62668.598
7.6197984,180.81528,290.39897,471.43798,610.609,511.319,387.79256,387.73722,490.15513,84.595299,92.965172,35.13806,37.095133,62660.934,62670.445
7.7197984,179.73489,291.28362,471.24336,610.65762,511.37075,387.79368,387.73709,490.18806,84.503746,93.008881,35.097404,37.084729,62659.113,62672.504
7.8197984,178.6501,292.16987,471.04574,610.70543,511.42222,387.79483,387.73695,490.22112,84.412193,93.052589,35.056932,37.073435,62657.043,62674.754
7.9197984,177.56383,293.05527,470.84563,610.75283,511.47386,387.79599,387.73682,490.25431,84.320641,93.096298,35.016542,37.061445,62654.836,62677.164
8.0197984,176.47777,293.93781,470.64298,610.80031,511.52591,387.79714,387.73665,490.28758,84.229088,93.140007,34.976151,37.048866,62652.52,62679.699
8.1197984,175.39332,294.81657,470.43833,610.84805,511.57847,387.79829,387.73651,490.32101,84.137535,93.183716,34.935709,37.035793,62650.137,62682.336
8.2197984,174.311,295.69047,470.23036,610.89627,511.63164,387.79948,387.73634,490.35455,84.045982,93.227425,34.895182,37.022275,62647.727,62685.047
8.3197984,173.23161,296.55943,470.02139,610.94503,511.68542,387.80067,387.73621,490.38818,83.95443,93.271133,34.854554,37.008378,62645.25,62687.816
8.4197983,172.1553,297.42292,469.80921,610.99433,511.73981,387.80185,387.73607,490.42196,83.862877,93.314842,34.813801,36.994112,62642.781,62690.629
8.5197983,171.08255,298.28119,469.59582,611.04418,511.79481,387.80307,387.7359,490.45586,83.771324,93.358551,34.772926,36.979517,62640.32,62693.48
8.6197984,170.0131,299.13383,469.38021,611.09463,511.85042,387.80426,387.73577,490.48991,83.679771,93.40226,34.731922,36.964604,62637.793,62696.359
8.7197984,168.94719,299.98105,469.16221,611.14563,511.90664,387.80548,387.7356,490.52409,83.588219,93.445969,34.69078,36.949387,62635.297,62699.262
8.8197984,167.88468,300.82273,468.94256,611.19724,511.9634,387.8067,387.73546,490.5584,83.496658,93.489685,34.649508,36.933878,62632.758,62702.188
8.9197984,166.82574,301.65918,468.7213,611.24939,512.02074,387.80792,387.73529,490.59289,83.405106,93.533394,34.608108,36.918095,62630.195,62705.129
9.0197984,165.77026,302.4904,468.4981,611.30208,512.07862,387.80914,387.73515,490.62754,83.313553,93.577103,34.566578,36.902038,62627.652,62708.082
9.1197984,164.71834,303.31661,468.27385,611.35525,512.13704,387.81036,387.73499,490.66237,83.222,93.620811,34.524923,36.885721,62625.109,62711.055
9.2197984,163.66946,304.13747,468.04673,611.40889,512.19601,387.81162,387.73482,490.69733,83.130447,93.66452,34.483142,36.86914,62622.527,62714.035
9.3197984,162.62409,304.9536,467.81888,611.46308,512.25549,387.81284,387.73468,490.73249,83.038895,93.708229,34.441242,36.852318,62619.949,62717.027
9.4197983,161.58166,305.76463,467.58909,611.51774,512.3155,387.81409,387.73451,490.76782,82.947342,93.751938,34.399231,36.835259,62617.332,62720.031
9.5197983,160.53339,306.5755,467.35261,611.57288,512.3761,387.81531,387.73434,490.80332,82.855789,93.795647,34.353273,36.817662,62614.637,62723.047
9.6197984,159.4751,307.38836,467.10892,611.62876,512.43791,387.81654,387.73417,490.83903,82.764236,93.839355,34.307113,36.799282,62611.555,62726.059
9.7197984,158.41209,308.20169,466.86097,611.68559,512.50109,387.81776,387.734,490.87494,82.672684,93.883064,34.261148,36.78025,62608.449,62729.039
9.8197984,157.34659,309.01345,466.60876,611.74364,512.56561,387.81898,387.73383,490.91102,82.581131,93.926773,34.215288,36.760707,62605.32,62731.973
9.9197984,156.28105,309.82313,466.35472,611.80284,512.63129,387.8202,387.73366,490.94733,82.489578,93.970482,34.169454,36.74072,62602.234,62734.852
10.019798,155.21627,310.6297,466.09864,611.86313,512.69799,387.82142,387.73349,490.98389,82.398026,94.014191,34.123617,36.720382,62599.188,62737.68
10.119798,154.15283,311.43254,465.83967,611.9243,512.7655,387.82267,387.73332,491.02071,82.306465,94.057899,34.077746,36.69973,62596.168,62740.461
10.219798,153.09182,312.2319,465.57938,611.98629,512.83376,387.82389,387.73315,491.05777,82.214912,94.101616,34.031818,36.678782,62593.238,62743.199
10.319798,152.0328,313.02701,465.31725,612.04895,512.90266,387.82511,387.73298,491.09511,82.12336,94.145325,33.985842,36.657614,62590.258,62745.91
10.419798,150.97645,313.8182,465.05419,612.11222,512.97214,387.82637,387.73282,491.13271,82.031807,94.189034,33.939793,36.636192,62587.285,62748.594
10.519798,149.92264,314.60525,464.78947,612.17597,513.0422,387.82759,387.73265,491.17059,81.940254,94.232742,33.89368,36.614558,62584.305,62751.258
10.619798,148.87174,315.38849,464.52386,612.24026,513.11273,387.82884,387.73244,491.20873,81.848701,94.276451,33.847492,36.592697,62581.344,62753.91
10.719798,147.82295,316.16716,464.256,612.30503,513.18373,387.83006,387.73227,491.24715,81.757149,94.32016,33.801251,36.570682,62578.359,62756.551
10.819798,146.77715,316.94218,463.98699,612.3702,513.25524,387.83132,387.7321,491.28588,81.665596,94.363869,33.754921,36.548423,62575.363,62759.188
