t_trip,P2_end,T_trip
50.419798,124.04003,686.70485
50.719798,124.04003,692.22873
50.519798,124.04003,688.79313
50.919798,124.04003,694.68214
51.319798,124.04003,697.39475
0.11979835,125.36903,606.82482
0,0,0
4.4197983,125.36903,609.06148
8.8197984,125.36903,612.12606
15.919798,125.36903,618.15152
12.719798,125.36903,615.17375
18.919798,125.36903,621.23935
21.419798,125.36903,624.27375
23.719798,125.36903,627.33548
25.619798,125.36903,630.34607
27.419798,125.36903,633.50342
28.819798,125.36903,636.39282
31.719798,125.36903,642.52767
30.219798,125.36903,639.4005
33.219798,125.36903,645.5112
34.819798,125.36903,648.50966
36.519798,125.36903,651.55396
38.319798,125.36903,654.69408
41.919798,125.36903,660.71682
40.119798,125.36903,657.7002
43.519798,125.36903,663.69893
45.219798,125.36903,666.82237
46.819798,125.36903,669.75701
48.619798,125.36903,672.75804
50.119798,125.36903,679.89597
49.919798,125.36903,676.36637
50.319798,125.36903,684.44085
50.419798,125.36903,686.70485
50.519798,125.36903,688.79313
50.719798,125.36903,692.22873
50.919798,125.36903,694.68214
51.319798,125.36903,697.39475
0,0,0
0.11979835,126.69804,606.82482
4.4197983,126.69804,609.06148
8.8197984,126.69804,612.12606
12.719798,126.69804,615.17375
15.919798,126.69804,618.15152
18.919798,126.69804,621.23935
21.419798,126.69804,624.27375
23.719798,126.69804,627.33548
25.619798,126.69804,630.34607
28.819798,126.69804,636.39282
27.419798,126.69804,633.50342
31.719798,126.69804,642.52767
30.219798,126.69804,639.4005
33.219798,126.69804,645.5112
34.819798,126.69804,648.50966
36.519798,126.69804,651.55396
38.319798,126.69804,654.69408
41.919798,126.69804,660.71682
40.119798,126.69804,657.7002
43.519798,126.69804,663.69893
45.219798,126.69804,666.82237
48.619798,126.69804,672.75804
46.819798,126.69804,669.75701
49.919798,126.69804,676.36637
50.119798,126.69804,679.89597
50.319798,126.69804,684.44085
50.419798,126.69804,686.70485
50.519798,126.69804,688.79313
50.719798,126.69804,692.22873
50.919798,126.69804,694.68214
51.319798,126.69804,697.39475
0,0,0
0.11979835,128.02704,606.82482
4.4197983,128.02704,609.06148
8.8197984,128.02704,612.12606
12.719798,128.02704,615.17375
15.919798,128.02704,618.15152
18.919798,128.02704,621.23935
21.419798,128.02704,624.27375
23.719798,128.02704,627.33541
25.619798,128.02704,630.34607
27.419798,128.02704,633.50342
28.819798,128.02704,636.39282
30.219798,128.02704,639.4005
31.719798,128.02704,642.52767
33.219798,128.02704,645.5112
34.819798,128.02704,648.50966
38.319798,128.02704,654.69408
36.519798,128.02704,651.55396
40.119798,128.02704,657.7002
41.919798,128.02704,660.71682
43.519798,128.02704,663.69893
45.219798,128.02704,666.82231
46.819798,128.02704,669.75701
48.619798,128.02704,672.75804
49.919798,128.02704,676.36637
50.119798,128.02704,679.89597
50.319798,128.02704,684.44085
50.419798,128.02704,686.70485
50.519798,128.02704,688.79313
50.719798,128.02704,692.22873
50.919798,128.02704,694.68207
51.319798,128.02704,697.39475
0,0,0
0.11979835,129.35603,606.82482
4.4197983,129.35603,609.06148
8.8197984,129.35603,612.12606
12.719798,129.35603,615.17375
15.919798,129.35603,618.15152
18.919798,129.35603,621.23935
